Shipment ID,Origin,Destination,Status,Estimated Arrival Time
2077,Los Angeles,Phoenix,Delayed,2024-08-16 11:40:55.771232
2078,New York,Phoenix,Delivered,2024-08-16 21:40:55.771237
2079,Phoenix,Phoenix,Delayed,2024-08-16 10:40:55.771241
2080,Houston,Houston,Delayed,2024-08-16 15:40:55.771246
2081,Houston,Los Angeles,Delivered,2024-08-16 12:40:55.771250
2082,Phoenix,Houston,Delayed,2024-08-16 22:40:55.771254
2083,Chicago,Houston,Delivered,2024-08-16 17:40:55.771258
2084,Houston,New York,In Transit,2024-08-16 10:40:55.771263
2085,Los Angeles,New York,Delayed,2024-08-16 09:40:55.771267
2086,Houston,Houston,In Transit,2024-08-16 08:40:55.771271
2087,Houston,Chicago,Delivered,2024-08-16 06:40:55.771276
2088,Chicago,Los Angeles,Delayed,2024-08-16 03:40:55.771280
2089,Houston,Phoenix,Delayed,2024-08-16 12:40:55.771284
2090,Los Angeles,Phoenix,Delayed,2024-08-16 23:40:55.771288
2091,Los Angeles,Phoenix,In Transit,2024-08-16 04:40:55.771293
2092,Los Angeles,New York,Delayed,2024-08-16 04:40:55.771297
2093,New York,New York,Delayed,2024-08-16 17:40:55.771301
2094,Houston,Los Angeles,Delivered,2024-08-16 06:40:55.771306
2095,Houston,Los Angeles,Delayed,2024-08-16 06:40:55.771311
2096,Phoenix,Houston,Delayed,2024-08-16 04:40:55.771315
2097,Chicago,New York,In Transit,2024-08-16 23:40:55.771319
2098,New York,Phoenix,In Transit,2024-08-16 04:40:55.771323
2099,Houston,Houston,Delayed,2024-08-16 20:40:55.771328
2100,Los Angeles,Chicago,In Transit,2024-08-16 14:40:55.771332
2101,New York,Chicago,Delayed,2024-08-16 07:40:55.771336
2102,New York,Los Angeles,Delayed,2024-08-16 23:40:55.771340
2103,Los Angeles,New York,Delayed,2024-08-16 21:40:55.771345
2104,Phoenix,New York,Delayed,2024-08-16 23:40:55.771349
2105,Houston,Chicago,Delayed,2024-08-16 18:40:55.771353
2106,Chicago,Los Angeles,In Transit,2024-08-16 05:40:55.771358
2107,Phoenix,Los Angeles,Delivered,2024-08-16 11:40:55.771362
2108,Chicago,New York,Delayed,2024-08-16 08:40:55.771366
2109,Chicago,New York,Delayed,2024-08-16 13:40:55.771370
2110,Houston,Chicago,Delayed,2024-08-16 17:40:55.771375
2111,New York,Phoenix,Delayed,2024-08-16 02:40:55.771380
2112,Los Angeles,Los Angeles,In Transit,2024-08-16 20:40:55.771384
2113,Chicago,New York,Delayed,2024-08-16 07:40:55.771389
2114,Phoenix,Los Angeles,Delivered,2024-08-16 08:40:55.771393
2115,Houston,Phoenix,Delivered,2024-08-16 16:40:55.771398
2116,Houston,Chicago,Delayed,2024-08-16 13:40:55.771402
2117,Phoenix,Phoenix,Delayed,2024-08-16 07:40:55.771406
2118,Chicago,Chicago,Delayed,2024-08-16 12:40:55.771411
2119,Chicago,Los Angeles,Delivered,2024-08-16 09:40:55.771415
2120,Chicago,Houston,In Transit,2024-08-16 19:40:55.771419
2121,Phoenix,Los Angeles,In Transit,2024-08-16 18:40:55.771424
2122,Chicago,Houston,In Transit,2024-08-16 20:40:55.771428
2123,Phoenix,Los Angeles,Delivered,2024-08-16 23:40:55.771432
2124,Houston,Phoenix,Delivered,2024-08-16 20:40:55.771437
2125,Phoenix,Chicago,In Transit,2024-08-16 13:40:55.771441
2126,Los Angeles,Los Angeles,Delayed,2024-08-16 08:40:55.771445
2127,New York,New York,Delayed,2024-08-16 16:40:55.771449
2128,New York,Chicago,In Transit,2024-08-16 17:40:55.771454
2129,Los Angeles,Phoenix,In Transit,2024-08-16 07:40:55.771458
2130,Phoenix,Los Angeles,Delivered,2024-08-16 03:40:55.771463
2131,New York,Chicago,Delivered,2024-08-16 23:40:55.771468
2132,Los Angeles,New York,Delivered,2024-08-16 15:40:55.771472
2133,Chicago,Chicago,In Transit,2024-08-16 22:40:55.771476
2134,Los Angeles,Los Angeles,In Transit,2024-08-16 04:40:55.771480
2135,New York,New York,Delayed,2024-08-16 04:40:55.771485
2136,Phoenix,Los Angeles,Delivered,2024-08-16 13:40:55.771489
2137,Phoenix,Houston,Delayed,2024-08-16 04:40:55.771493
2138,Phoenix,Chicago,Delayed,2024-08-17 00:40:55.771497
2139,New York,New York,Delayed,2024-08-16 03:40:55.771502
2140,Chicago,Los Angeles,Delivered,2024-08-16 21:40:55.771506
2141,Phoenix,Houston,In Transit,2024-08-16 11:40:55.771510
2142,Houston,Los Angeles,Delivered,2024-08-17 00:40:55.771515
2143,Chicago,Los Angeles,Delivered,2024-08-16 05:40:55.771519
2144,Los Angeles,Chicago,Delivered,2024-08-16 03:40:55.771523
2145,Houston,Chicago,Delayed,2024-08-16 21:40:55.771528
2146,Chicago,Houston,Delayed,2024-08-16 14:40:55.771532
2147,New York,Chicago,Delayed,2024-08-16 09:40:55.771536
2148,Houston,New York,In Transit,2024-08-16 07:40:55.771541
2149,Chicago,Houston,In Transit,2024-08-16 22:40:55.771545
2150,Chicago,Chicago,In Transit,2024-08-16 08:40:55.771549
2151,Chicago,Phoenix,In Transit,2024-08-16 06:40:55.771554
2152,Chicago,New York,Delivered,2024-08-16 21:40:55.771558
2153,Phoenix,Los Angeles,Delayed,2024-08-16 07:40:55.771562
2154,Houston,New York,Delayed,2024-08-16 17:40:55.771567
2155,Chicago,New York,Delivered,2024-08-16 09:40:55.771571
2156,Los Angeles,New York,Delivered,2024-08-16 17:40:55.771575
2157,Chicago,Phoenix,Delayed,2024-08-16 04:40:55.771579
2158,Phoenix,New York,Delayed,2024-08-16 15:40:55.771584
2159,Houston,Phoenix,In Transit,2024-08-16 23:40:55.771588
2160,Houston,Phoenix,In Transit,2024-08-16 17:40:55.771592
2161,Chicago,Chicago,Delivered,2024-08-16 13:40:55.771597
2162,Chicago,Phoenix,Delayed,2024-08-16 21:40:55.771601
2163,Los Angeles,Phoenix,Delayed,2024-08-16 18:40:55.771605
2164,Houston,Houston,In Transit,2024-08-16 13:40:55.771610
2165,Houston,Phoenix,In Transit,2024-08-16 04:40:55.771614
2166,Houston,New York,Delayed,2024-08-16 23:40:55.771618
2167,New York,Los Angeles,Delivered,2024-08-16 19:40:55.771622
2168,Houston,Phoenix,In Transit,2024-08-17 00:40:55.771626
2169,Houston,Phoenix,Delayed,2024-08-16 03:40:55.771631
2170,Los Angeles,Chicago,Delivered,2024-08-16 21:40:55.771635
2171,Los Angeles,Chicago,Delayed,2024-08-16 09:40:55.771639
2172,Phoenix,New York,Delayed,2024-08-16 13:40:55.771643
2173,Los Angeles,Houston,Delayed,2024-08-16 02:40:55.771648
2174,Houston,Phoenix,Delivered,2024-08-16 20:40:55.771652
2175,Houston,Los Angeles,Delivered,2024-08-16 18:40:55.771657
2176,Houston,Phoenix,Delayed,2024-08-16 07:40:55.771661
2177,Los Angeles,Houston,Delayed,2024-08-16 22:40:55.771665
2178,Chicago,Houston,Delivered,2024-08-16 12:40:55.771669
2179,New York,Los Angeles,Delayed,2024-08-16 23:40:55.771674
2180,Phoenix,New York,Delayed,2024-08-16 08:40:55.771678
2181,Chicago,Phoenix,Delivered,2024-08-16 18:40:55.771682
2182,New York,Phoenix,In Transit,2024-08-16 09:40:55.771686
2183,Los Angeles,Chicago,Delivered,2024-08-16 22:40:55.771691
2184,Phoenix,New York,In Transit,2024-08-16 10:40:55.771695
2185,Phoenix,Los Angeles,In Transit,2024-08-16 12:40:55.771699
2186,Los Angeles,Phoenix,Delivered,2024-08-16 22:40:55.771704
2187,Chicago,Houston,In Transit,2024-08-16 05:40:55.771708
2188,New York,New York,Delayed,2024-08-16 05:40:55.771712
2189,Houston,Houston,Delivered,2024-08-16 03:40:55.771716
2190,Houston,Houston,In Transit,2024-08-16 08:40:55.771720
2191,New York,Phoenix,In Transit,2024-08-16 04:40:55.771725
2192,Houston,Los Angeles,Delivered,2024-08-16 06:40:55.771729
2193,Chicago,Los Angeles,Delivered,2024-08-17 00:40:55.771733
2194,Los Angeles,Los Angeles,Delayed,2024-08-16 11:40:55.771737
2195,Houston,Phoenix,In Transit,2024-08-16 16:40:55.771741
2196,Los Angeles,Chicago,Delivered,2024-08-16 04:40:55.771746
2197,Houston,Los Angeles,In Transit,2024-08-16 07:40:55.771750
2198,Houston,Houston,In Transit,2024-08-16 10:40:55.771754
2199,Phoenix,Houston,In Transit,2024-08-16 23:40:55.771758
2200,Houston,Chicago,Delivered,2024-08-16 18:40:55.771764
2201,Phoenix,New York,Delayed,2024-08-16 22:40:55.771769
2202,New York,Phoenix,In Transit,2024-08-16 15:40:55.771773
2203,Houston,Phoenix,Delivered,2024-08-16 04:40:55.771778
2204,Houston,Houston,In Transit,2024-08-16 14:40:55.771782
2205,Houston,Los Angeles,Delayed,2024-08-16 07:40:55.771786
2206,Phoenix,Los Angeles,In Transit,2024-08-16 02:40:55.771791
2207,Houston,Chicago,Delayed,2024-08-16 11:40:55.771795
2208,Chicago,New York,Delivered,2024-08-16 06:40:55.771799
2209,New York,Los Angeles,Delivered,2024-08-16 05:40:55.771803
2210,Los Angeles,Los Angeles,Delivered,2024-08-16 12:40:55.771808
2211,Los Angeles,Houston,In Transit,2024-08-16 04:40:55.771812
2212,Phoenix,Los Angeles,Delayed,2024-08-16 20:40:55.771816
2213,New York,Phoenix,In Transit,2024-08-16 12:40:55.771821
2214,New York,Los Angeles,Delayed,2024-08-16 18:40:55.771825
2215,Los Angeles,Los Angeles,Delivered,2024-08-16 18:40:55.771829
2216,Phoenix,New York,In Transit,2024-08-17 00:40:55.771834
2217,Chicago,Phoenix,Delivered,2024-08-16 20:40:55.771838
2218,New York,Chicago,Delivered,2024-08-16 07:40:55.771842
2219,Los Angeles,Phoenix,Delayed,2024-08-16 03:40:55.771847
2220,Chicago,Chicago,Delayed,2024-08-16 11:40:55.771851
2221,Chicago,New York,Delayed,2024-08-16 16:40:55.771855
2222,Chicago,New York,In Transit,2024-08-16 22:40:55.771859
2223,Houston,Houston,Delivered,2024-08-16 13:40:55.771864
2224,Chicago,New York,In Transit,2024-08-16 18:40:55.771868
2225,Chicago,Los Angeles,Delayed,2024-08-16 05:40:55.771872
2226,Los Angeles,Phoenix,Delayed,2024-08-16 07:40:55.771877
2227,Phoenix,Chicago,Delayed,2024-08-17 00:40:55.771881
2228,Houston,Phoenix,Delivered,2024-08-16 12:40:55.771885
2229,Los Angeles,Phoenix,Delivered,2024-08-16 07:40:55.771889
2230,Los Angeles,Phoenix,Delayed,2024-08-16 07:40:55.771894
2231,Chicago,Phoenix,Delivered,2024-08-16 03:40:55.771898
2232,Houston,Phoenix,Delivered,2024-08-16 18:40:55.771902
2233,Phoenix,New York,In Transit,2024-08-16 21:40:55.771906
2234,Phoenix,Phoenix,In Transit,2024-08-16 05:40:55.771911
2235,Los Angeles,Phoenix,Delayed,2024-08-16 19:40:55.771916
2236,Houston,Chicago,Delayed,2024-08-16 06:40:55.771920
2237,Los Angeles,Phoenix,Delivered,2024-08-16 10:40:55.771924
2238,Los Angeles,Phoenix,In Transit,2024-08-16 23:40:55.771929
2239,Phoenix,Phoenix,In Transit,2024-08-16 13:40:55.771933
2240,Phoenix,Los Angeles,Delayed,2024-08-17 00:40:55.771937
2241,Los Angeles,Los Angeles,In Transit,2024-08-16 15:40:55.771941
2242,Phoenix,Los Angeles,Delivered,2024-08-16 15:40:55.771946
2243,Phoenix,Phoenix,In Transit,2024-08-16 16:40:55.771950
2244,Chicago,New York,In Transit,2024-08-16 23:40:55.771954
2245,Chicago,Los Angeles,Delayed,2024-08-16 18:40:55.771958
2246,New York,Houston,In Transit,2024-08-16 22:40:55.771962
2247,New York,Los Angeles,Delayed,2024-08-16 05:40:55.771967
2248,Los Angeles,Chicago,Delayed,2024-08-16 15:40:55.771971
2249,Los Angeles,New York,In Transit,2024-08-16 13:40:55.771975
2250,Los Angeles,Chicago,Delayed,2024-08-16 07:40:55.771980
2251,Los Angeles,Chicago,Delivered,2024-08-17 00:40:55.771984
2252,Phoenix,Los Angeles,Delayed,2024-08-16 23:40:55.771988
2253,New York,Chicago,Delayed,2024-08-16 23:40:55.771993
2254,Los Angeles,Chicago,In Transit,2024-08-16 13:40:55.771997
2255,Chicago,New York,In Transit,2024-08-16 12:40:55.772001
2256,Phoenix,Los Angeles,Delayed,2024-08-16 17:40:55.772005
2257,New York,New York,Delayed,2024-08-16 18:40:55.772010
2258,Phoenix,Phoenix,Delayed,2024-08-16 15:40:55.772014
2259,Houston,Los Angeles,Delivered,2024-08-16 02:40:55.772018
2260,Los Angeles,Chicago,In Transit,2024-08-16 09:40:55.772023
2261,Chicago,Los Angeles,Delivered,2024-08-16 13:40:55.772027
2262,New York,Los Angeles,In Transit,2024-08-16 09:40:55.772032
2263,Phoenix,Phoenix,In Transit,2024-08-16 10:40:55.772036
2264,New York,New York,Delivered,2024-08-16 04:40:55.772040
2265,Houston,Los Angeles,Delivered,2024-08-16 16:40:55.772045
2266,Chicago,Los Angeles,In Transit,2024-08-16 12:40:55.772049
2267,Phoenix,Houston,In Transit,2024-08-16 19:40:55.772053
2268,Houston,Los Angeles,Delivered,2024-08-16 08:40:55.772058
2269,Chicago,New York,Delivered,2024-08-16 02:40:55.772062
2270,Los Angeles,Houston,In Transit,2024-08-16 17:40:55.772067
2271,New York,Chicago,Delivered,2024-08-16 02:40:55.772071
2272,Houston,Chicago,Delayed,2024-08-17 00:40:55.772075
2273,New York,Los Angeles,In Transit,2024-08-16 23:40:55.772080
2274,New York,New York,Delivered,2024-08-16 14:40:55.772084
2275,Houston,Los Angeles,Delayed,2024-08-16 23:40:55.772089
2276,Houston,Chicago,In Transit,2024-08-16 13:40:55.772093
2277,Phoenix,Los Angeles,In Transit,2024-08-16 12:40:55.772097
2278,Chicago,Los Angeles,Delivered,2024-08-16 15:40:55.772102
2279,Los Angeles,Chicago,Delayed,2024-08-16 02:40:55.772106
2280,Chicago,Chicago,Delivered,2024-08-16 15:40:55.772110
2281,Los Angeles,Houston,Delivered,2024-08-16 18:40:55.772115
2282,Los Angeles,Houston,Delayed,2024-08-16 23:40:55.772119
2283,Phoenix,New York,Delivered,2024-08-16 14:40:55.772124
2284,Chicago,New York,In Transit,2024-08-16 07:40:55.772133
2285,Houston,Chicago,Delayed,2024-08-16 19:40:55.772137
2286,New York,New York,Delivered,2024-08-16 07:40:55.772141
2287,Phoenix,New York,Delivered,2024-08-16 03:40:55.772146
2288,Phoenix,Houston,Delivered,2024-08-16 16:40:55.772150
2289,Phoenix,Chicago,In Transit,2024-08-16 07:40:55.772154
2290,Houston,Houston,In Transit,2024-08-16 11:40:55.772158
2291,New York,Los Angeles,Delayed,2024-08-16 22:40:55.772163
2292,Los Angeles,Chicago,Delayed,2024-08-16 04:40:55.772167
2293,Houston,Phoenix,In Transit,2024-08-16 02:40:55.772171
2294,Chicago,New York,Delayed,2024-08-16 21:40:55.772176
2295,Chicago,New York,In Transit,2024-08-16 10:40:55.772180
2296,Houston,Chicago,In Transit,2024-08-16 13:40:55.772184
2297,Phoenix,Phoenix,Delivered,2024-08-16 04:40:55.772189
2298,Houston,Chicago,Delayed,2024-08-16 15:40:55.772193
2299,New York,New York,Delivered,2024-08-16 16:40:55.772197
2300,Los Angeles,New York,In Transit,2024-08-16 20:40:55.772202
2301,Los Angeles,Chicago,Delayed,2024-08-16 18:40:55.772206
2302,Los Angeles,Los Angeles,Delivered,2024-08-16 05:40:55.772210
2303,Los Angeles,Houston,In Transit,2024-08-16 02:40:55.772214
2304,Phoenix,Chicago,In Transit,2024-08-16 09:40:55.772219
2305,Chicago,Los Angeles,Delivered,2024-08-16 05:40:55.772224
2306,Chicago,Phoenix,Delivered,2024-08-16 03:40:55.772228
2307,Houston,New York,Delivered,2024-08-16 23:40:55.772232
2308,Los Angeles,New York,Delayed,2024-08-16 23:40:55.772237
2309,Chicago,Chicago,Delayed,2024-08-16 18:40:55.772241
2310,New York,Phoenix,Delivered,2024-08-16 05:40:55.772246
2311,Houston,Chicago,Delivered,2024-08-16 05:40:55.772250
2312,Phoenix,Houston,In Transit,2024-08-16 08:40:55.772254
2313,Chicago,Chicago,Delayed,2024-08-16 02:40:55.772259
2314,Los Angeles,New York,Delivered,2024-08-16 19:40:55.772263
2315,Phoenix,New York,Delayed,2024-08-16 08:40:55.772268
2316,New York,Los Angeles,Delayed,2024-08-16 10:40:55.772272
2317,New York,Houston,Delayed,2024-08-16 09:40:55.772276
2318,New York,Los Angeles,In Transit,2024-08-16 20:40:55.772281
2319,Phoenix,Houston,Delivered,2024-08-16 14:40:55.772285
2320,Chicago,New York,Delivered,2024-08-16 08:40:55.772289
2321,Chicago,Chicago,Delivered,2024-08-16 03:40:55.772294
2322,Los Angeles,New York,In Transit,2024-08-16 10:40:55.772298
2323,Phoenix,Los Angeles,In Transit,2024-08-16 06:40:55.772302
2324,Chicago,Los Angeles,In Transit,2024-08-16 07:40:55.772306
2325,Houston,Chicago,Delivered,2024-08-16 20:40:55.772311
2326,Los Angeles,Phoenix,Delayed,2024-08-16 03:40:55.772315
2327,Chicago,New York,In Transit,2024-08-16 21:40:55.772319
2328,Houston,Los Angeles,Delayed,2024-08-16 03:40:55.772324
2329,Los Angeles,Phoenix,In Transit,2024-08-16 16:40:55.772328
2330,New York,Phoenix,In Transit,2024-08-16 14:40:55.772332
2331,New York,New York,In Transit,2024-08-16 05:40:55.772336
2332,Houston,Los Angeles,Delivered,2024-08-16 10:40:55.772341
2333,New York,Phoenix,In Transit,2024-08-16 11:40:55.772345
2334,Houston,Los Angeles,Delivered,2024-08-16 22:40:55.772349
2335,Los Angeles,Phoenix,In Transit,2024-08-16 09:40:55.772353
2336,Chicago,New York,In Transit,2024-08-16 13:40:55.772358
2337,Los Angeles,New York,Delayed,2024-08-16 14:40:55.772362
2338,Houston,Los Angeles,In Transit,2024-08-16 19:40:55.772366
2339,Phoenix,New York,In Transit,2024-08-16 05:40:55.772370
2340,Phoenix,Houston,Delayed,2024-08-16 02:40:55.772375
2341,Houston,New York,In Transit,2024-08-16 02:40:55.772379
2342,New York,Chicago,Delivered,2024-08-16 16:40:55.772383
2343,Houston,New York,In Transit,2024-08-16 13:40:55.772387
2344,Chicago,Los Angeles,Delivered,2024-08-16 21:40:55.772392
2345,Los Angeles,Phoenix,In Transit,2024-08-16 13:40:55.772396
2346,Houston,Houston,Delivered,2024-08-16 21:40:55.772400
2347,Chicago,Los Angeles,In Transit,2024-08-16 19:40:55.772405
2348,Phoenix,Los Angeles,Delayed,2024-08-16 06:40:55.772409
2349,Houston,Phoenix,In Transit,2024-08-17 00:40:55.772413
2350,New York,Phoenix,Delivered,2024-08-17 00:40:55.772417
2351,Houston,Chicago,In Transit,2024-08-17 00:40:55.772421
2352,Phoenix,Los Angeles,In Transit,2024-08-16 03:40:55.772426
2353,Chicago,Houston,In Transit,2024-08-16 15:40:55.772430
2354,Houston,Chicago,Delivered,2024-08-16 03:40:55.772435
2355,Houston,Chicago,Delivered,2024-08-16 10:40:55.772439
2356,New York,Houston,In Transit,2024-08-16 17:40:55.772444
2357,Houston,Phoenix,In Transit,2024-08-16 18:40:55.772448
2358,Los Angeles,Phoenix,In Transit,2024-08-16 08:40:55.772452
2359,Houston,Los Angeles,Delayed,2024-08-17 00:40:55.772456
2360,Chicago,Chicago,Delayed,2024-08-16 13:40:55.772460
2361,Los Angeles,Houston,In Transit,2024-08-16 14:40:55.772465
2362,New York,Houston,In Transit,2024-08-16 05:40:55.772469
2363,Chicago,Houston,In Transit,2024-08-16 14:40:55.772473
2364,New York,Chicago,In Transit,2024-08-16 05:40:55.772478
2365,Houston,New York,Delayed,2024-08-16 12:40:55.772482
2366,Houston,New York,Delivered,2024-08-16 14:40:55.772486
2367,Houston,Los Angeles,Delivered,2024-08-16 04:40:55.772491
2368,Phoenix,Chicago,Delivered,2024-08-16 13:40:55.772497
2369,Phoenix,Chicago,In Transit,2024-08-16 10:40:55.772501
2370,Phoenix,New York,Delayed,2024-08-16 03:40:55.772505
2371,Los Angeles,Phoenix,Delivered,2024-08-16 21:40:55.772510
2372,Phoenix,New York,Delayed,2024-08-16 06:40:55.772514
2373,Houston,Chicago,In Transit,2024-08-16 22:40:55.772518
2374,Houston,Houston,In Transit,2024-08-16 21:40:55.772522
2375,New York,Chicago,Delivered,2024-08-16 21:40:55.772527
2376,Chicago,Los Angeles,In Transit,2024-08-16 05:40:55.772531
2377,Chicago,New York,Delivered,2024-08-16 22:40:55.772535
2378,Los Angeles,Los Angeles,Delayed,2024-08-16 09:40:55.772539
2379,Chicago,New York,In Transit,2024-08-16 12:40:55.772544
2380,Los Angeles,New York,Delivered,2024-08-16 15:40:55.772548
2381,New York,Los Angeles,Delivered,2024-08-16 05:40:55.772552
2382,Houston,Los Angeles,In Transit,2024-08-16 20:40:55.772556
2383,Houston,Houston,Delayed,2024-08-16 17:40:55.772561
2384,Los Angeles,Los Angeles,Delayed,2024-08-16 19:40:55.772565
2385,Phoenix,Phoenix,Delayed,2024-08-16 20:40:55.772569
2386,New York,Chicago,In Transit,2024-08-16 05:40:55.772573
2387,Houston,Houston,In Transit,2024-08-16 11:40:55.772578
2388,Houston,New York,Delayed,2024-08-16 12:40:55.772582
2389,New York,Phoenix,In Transit,2024-08-16 20:40:55.772586
2390,Los Angeles,Los Angeles,Delayed,2024-08-17 00:40:55.772590
2391,Phoenix,Los Angeles,Delivered,2024-08-16 07:40:55.772595
2392,Los Angeles,Phoenix,Delivered,2024-08-16 17:40:55.772599
2393,New York,Chicago,Delayed,2024-08-17 00:40:55.772603
2394,Chicago,Phoenix,In Transit,2024-08-16 15:40:55.772607
2395,Los Angeles,New York,Delayed,2024-08-16 19:40:55.772612
2396,Chicago,Phoenix,In Transit,2024-08-16 13:40:55.772616
2397,New York,Houston,Delivered,2024-08-16 04:40:55.772620
2398,Chicago,Phoenix,Delivered,2024-08-16 16:40:55.772624
2399,Houston,Phoenix,In Transit,2024-08-16 12:40:55.772628
2400,Chicago,New York,Delayed,2024-08-16 05:40:55.772633
2401,Phoenix,New York,In Transit,2024-08-16 10:40:55.772637
2402,Phoenix,Chicago,Delayed,2024-08-16 03:40:55.772641
2403,New York,New York,Delayed,2024-08-16 09:40:55.772646
2404,Phoenix,New York,Delivered,2024-08-16 20:40:55.772650
2405,Chicago,New York,Delayed,2024-08-16 14:40:55.772654
2406,Houston,Phoenix,Delivered,2024-08-16 20:40:55.772658
2407,New York,Phoenix,Delivered,2024-08-16 10:40:55.772663
2408,Los Angeles,New York,In Transit,2024-08-16 02:40:55.772667
2409,Houston,Los Angeles,Delivered,2024-08-16 21:40:55.772671
